"quantity","truth","mc_mean","mc_bias","mc_sd","sign_correct","power_alpha05","coverage_95","n_reps","n_failed"
"public__vs_welfare__ctl_correct",-62.5,-63.6560230976895,-1.15602309768955,22.0568544780583,1,0.82,0.94,200,0
"club__vs_welfare__ctl_correct",-200,-201.729688729273,-1.72968872927297,27.1170206044081,1,1,0.955,200,0
"private__vs_welfare__ctl_correct",-312.5,-312.839634071553,-0.339634071553348,29.2635085090996,1,1,0.955,200,0
"public__vs_welfare__ctl_under",-62.5,-62.3009396938618,0.199060306138207,22.8611199739278,1,0.79,0.96,200,0
"club__vs_welfare__ctl_under",-200,-201.548635584412,-1.54863558441207,29.3082321821897,1,1,0.975,200,0
"private__vs_welfare__ctl_under",-312.5,-313.5012385295,-1.00123852949963,33.3146767764476,1,1,0.94,200,0
"public__vs_welfare__ctl_over",-62.5,-67.4415694409259,-4.94156944092592,56.9770706857819,0.895,0.145,0.975,200,0
"club__vs_welfare__ctl_over",-200,-207.223695133372,-7.2236951333719,70.1457163583386,1,0.735,0.975,200,0
"private__vs_welfare__ctl_over",-312.5,-331.876668843392,-19.3766688433919,84.1163599807214,1,0.97,0.945,200,0
"public__vs_welfare__ctl_dk",-62.5,-61.2143842709863,1.28561572901373,26.4645489537589,1,0.645,0.95,200,0
"club__vs_welfare__ctl_dk",-200,-199.700582053374,0.299417946626164,34.8018190222782,1,1,0.96,200,0
"private__vs_welfare__ctl_dk",-312.5,-315.155541604287,-2.65554160428741,36.8823007566653,1,1,0.97,200,0
"public__vs_welfare__trt_correct",-62.5,-63.7157989955021,-1.21579899550213,20.947786777482,1,0.855,0.965,200,0
"club__vs_welfare__trt_correct",-200,-201.30646806655,-1.30646806654954,26.0534103196833,1,1,0.955,200,0
"private__vs_welfare__trt_correct",-312.5,-313.28087893233,-0.780878932329983,31.4613686704633,1,1,0.95,200,0
"public__vs_welfare__trt_under",-62.5,-64.8589181812948,-2.35891818129477,23.5926160515949,1,0.79,0.955,200,0
"club__vs_welfare__trt_under",-200,-201.726034361602,-1.72603436160239,30.4908215644272,1,1,0.95,200,0
"private__vs_welfare__trt_under",-436.868480583134,-439.833718860489,-2.96523827735456,34.6399627807703,1,1,0.96,200,0
"public__vs_welfare__trt_over",-93.75,-100.28634351649,-6.53634351648991,60.1673631572896,0.965,0.335,0.96,200,0
"club__vs_welfare__trt_over",-175,-181.96963326395,-6.96963326395024,73.7519765845232,0.99,0.635,0.965,200,0
"private__vs_welfare__trt_over",-200,-209.570260175727,-9.57026017572744,79.0390670058523,0.995,0.7,0.96,200,0
"public__vs_welfare__trt_dk",-62.5,-63.3428367072782,-0.842836707278181,25.477769067671,0.99,0.645,0.965,200,0
"club__vs_welfare__trt_dk",-200,-199.649108028987,0.350891971013084,30.5902136053979,1,1,0.965,200,0
"private__vs_welfare__trt_dk",-412.5,-414.48602837376,-1.98602837376006,39.6440097780082,1,1,0.945,200,0
"public_vs_club__ctl_correct",137.5,138.073665631583,0.573665631583395,19.6295887448099,1,1,0.95,200,0
"public_vs_private__ctl_correct",250,249.183610973864,-0.816389026136136,28.4393049881788,1,1,0.955,200,0
"club_vs_private__ctl_correct",112.5,111.10994534228,-1.39005465771959,27.2605966188041,1,0.985,0.97,200,0
"public_vs_club__ctl_under",137.5,139.24769589055,1.74769589055035,21.8864529813541,1,1,0.96,200,0
"public_vs_private__ctl_under",250,251.200298835638,1.20029883563774,29.6706869439631,1,1,0.935,200,0
"club_vs_private__ctl_under",112.5,111.952602945087,-0.547397054912622,28.3853238952146,1,0.98,0.945,200,0
"public_vs_club__ctl_over",137.5,139.782125692446,2.28212569244599,52.0475502723265,0.995,0.675,0.975,200,0
"public_vs_private__ctl_over",250,264.435099402466,14.435099402466,80.5046543903259,1,0.855,0.95,200,0
"club_vs_private__ctl_over",112.5,124.65297371002,12.1529737100201,72.8585045509475,0.955,0.375,0.98,200,0
"public_vs_club__ctl_dk",137.5,138.486197782388,0.986197782387507,26.016300859222,1,1,0.94,200,0
"public_vs_private__ctl_dk",250,253.941157333301,3.94115733330125,34.8624184890239,1,1,0.98,200,0
"club_vs_private__ctl_dk",112.5,115.454959550914,2.95495955091384,34.6058365388142,1,0.925,0.95,200,0
"public_vs_club__trt_correct",137.5,137.590669071047,0.090669071047472,19.7913262248099,1,1,0.94,200,0
"public_vs_private__trt_correct",250,249.565079936828,-0.434920063172285,29.2421653344657,1,1,0.925,200,0
"club_vs_private__trt_correct",112.5,111.97441086578,-0.525589134219786,25.7698794549408,1,0.975,0.96,200,0
"public_vs_club__trt_under",137.5,136.867116180308,-0.632883819692324,20.899219246744,1,1,0.955,200,0
"public_vs_private__trt_under",374.368480583134,374.974800679194,0.606320096059733,30.8565661891989,1,1,0.955,200,0
"club_vs_private__trt_under",236.868480583134,238.107684498886,1.23920391575189,29.04999931894,1,1,0.96,200,0
"public_vs_club__trt_over",81.25,81.6832897474603,0.433289747460265,52.9665330460829,0.95,0.26,0.97,200,0
"public_vs_private__trt_over",106.25,109.283916659237,3.03391665923742,78.5446656387448,0.91,0.215,0.975,200,0
"club_vs_private__trt_over",25,27.6006269117772,2.60062691177715,75.0407598030446,0.63,0.05,0.95,200,0
"public_vs_club__trt_dk",137.5,136.306271321709,-1.19372867829119,24.4594955326251,1,1,0.975,200,0
"public_vs_private__trt_dk",350,351.143191666482,1.14319166648193,37.160022634043,1,1,0.945,200,0
"club_vs_private__trt_dk",212.5,214.836920344773,2.33692034477335,30.6789875731453,1,1,0.975,200,0
"CITT_correct__public_vs_club",0,-0.482996560536045,-0.482996560536045,26.7950497595275,NA,0.035,0.965,200,0
"CITT_under__public_vs_club",-2.8421709430404e-14,-2.38057971024277,-2.38057971024275,29.6554074657178,0.535,0.035,0.965,200,0
"CITT_over__public_vs_club",-56.25,-58.0988359449857,-1.84883594498567,77.8017923121862,0.805,0.09,0.97,200,0
