"quantity","truth","mc_mean","mc_bias","mc_sd","sign_correct","power_alpha05","coverage_95","n_reps","n_failed"
"public__vs_welfare__ctl_correct",-62.5,-69.5828294385765,-7.08282943857647,20.7751227938457,1,0.9,1,20,0
"club__vs_welfare__ctl_correct",-125,-127.006143913729,-2.006143913729,17.8502751507257,1,1,1,20,0
"private__vs_welfare__ctl_correct",-237.5,-250.787958693246,-13.2879586932465,27.6858587627501,1,1,1,20,0
"public__vs_welfare__ctl_under",-62.5,-62.1271349411307,0.372865058869273,27.1502812696071,1,0.65,0.9,20,0
"club__vs_welfare__ctl_under",-125,-121.444392357742,3.55560764225807,28.4446958878629,1,1,0.95,20,0
"private__vs_welfare__ctl_under",-237.5,-239.088302094302,-1.58830209430198,24.0814526089382,1,1,1,20,0
"public__vs_welfare__ctl_over",-62.5,-69.6084689142681,-7.10846891426813,72.3579405848939,0.9,0.15,0.95,20,0
"club__vs_welfare__ctl_over",-125,-131.446373275081,-6.44637327508102,57.587079460576,1,0.4,1,20,0
"private__vs_welfare__ctl_over",-237.5,-225.429028323544,12.0709716764562,77.2413010259528,1,0.9,0.95,20,0
"public__vs_welfare__ctl_dk",-62.5,-59.0956169135821,3.40438308641792,27.3297714536244,1,0.55,1,20,0
"club__vs_welfare__ctl_dk",-125,-123.068164685675,1.93183531432457,22.3745265166886,1,1,1,20,0
"private__vs_welfare__ctl_dk",-237.5,-240.483521034702,-2.98352103470225,31.9573723910661,1,1,1,20,0
"public__vs_welfare__trt_correct",-62.5,-58.3276066584861,4.17239334151393,19.6151651602602,1,0.7,0.95,20,0
"club__vs_welfare__trt_correct",-125,-118.356428524506,6.64357147549387,25.4298592585755,1,1,0.95,20,0
"private__vs_welfare__trt_correct",-237.5,-232.765809863486,4.73419013651446,27.5899350146486,1,1,0.95,20,0
"public__vs_welfare__trt_under",-62.5,-68.0490809547917,-5.54908095479172,24.680873298425,1,0.85,0.95,20,0
"club__vs_welfare__trt_under",-78.3618197813246,-82.8854497551782,-4.52362997385359,33.4682180602309,1,0.85,0.9,20,0
"private__vs_welfare__trt_under",-315.230300364459,-314.187502858265,1.04279750619349,39.7965264454737,1,1,0.85,20,0
"public__vs_welfare__trt_over",-93.75,-90.7263904622789,3.0236095377211,64.9187996946767,0.9,0.15,0.9,20,0
"club__vs_welfare__trt_over",-137.5,-148.149656972016,-10.6496569720155,51.3229344988489,1,0.45,1,20,0
"private__vs_welfare__trt_over",-162.5,-151.642132894062,10.8578671059379,70.0907545708466,1,0.55,0.9,20,0
"public__vs_welfare__trt_dk",-62.5,-68.8418672844435,-6.34186728444351,31.5949767379633,1,0.75,0.9,20,0
"club__vs_welfare__trt_dk",-87.5,-82.6749756529448,4.82502434705523,24.7508102147443,1,0.8,0.95,20,0
"private__vs_welfare__trt_dk",-300,-298.153070581822,1.84692941817764,50.3003312658646,1,1,0.9,20,0
"public_vs_club__ctl_correct",62.5,57.4233144751526,-5.07668552484743,18.0981205680517,1,0.9,0.9,20,0
"public_vs_private__ctl_correct",175,181.20512925467,6.20512925467,20.1339722406673,1,1,1,20,0
"club_vs_private__ctl_correct",112.5,123.781814779517,11.2818147795174,20.4413279305134,1,1,1,20,0
"public_vs_club__ctl_under",62.5,59.3172574166112,-3.1827425833888,17.6175684752478,1,0.9,0.9,20,0
"public_vs_private__ctl_under",175,176.961167153171,1.96116715317123,32.1929372164697,1,1,0.9,20,0
"club_vs_private__ctl_under",112.5,117.64390973656,5.14390973655999,30.1203334528305,1,1,0.95,20,0
"public_vs_club__ctl_over",62.5,61.8379043608129,-0.662095639187115,44.2661419893522,0.9,0.05,0.95,20,0
"public_vs_private__ctl_over",175,155.820559409276,-19.1794405907243,81.842609146376,0.95,0.5,0.95,20,0
"club_vs_private__ctl_over",112.5,93.9826550484628,-18.5173449515372,75.6185560316633,0.9,0.2,0.95,20,0
"public_vs_club__ctl_dk",62.5,63.9725477720934,1.47254777209336,19.4196059090073,1,0.85,1,20,0
"public_vs_private__ctl_dk",175,181.38790412112,6.38790412112024,38.0196022047933,1,1,0.95,20,0
"club_vs_private__ctl_dk",112.5,117.415356349027,4.91535634902688,34.5271778689934,1,0.9,0.95,20,0
"public_vs_club__trt_correct",62.5,60.02882186602,-2.47117813397996,19.0976541476297,1,0.95,0.95,20,0
"public_vs_private__trt_correct",175,174.438203204999,-0.561796795000589,22.7475751447422,1,1,1,20,0
