"quantity","truth","mc_mean","mc_bias","mc_sd","sign_correct","power_alpha05","coverage_95","n_reps","n_failed"
"public__vs_welfare__control",-62.5,-62.749615001383,-0.249615001383006,12.0359269444035,1,1,0.98,200,0
"club__vs_welfare__control",-200,-201.295850679843,-1.29585067984263,16.3918603559399,1,1,0.965,200,0
"private__vs_welfare__control",-312.5,-314.409219737903,-1.90921973790267,19.270327727433,1,1,0.96,200,0
"public__vs_welfare__treated_none",-62.5,-63.468828488096,-0.968828488095944,19.634939928767,1,0.91,0.955,200,0
"club__vs_welfare__treated_none",-200,-199.9829730975,0.0170269024996514,24.4881437338165,1,1,0.97,200,0
"private__vs_welfare__treated_none",-312.5,-311.757707037004,0.742292962996089,28.2981751074511,1,1,0.96,200,0
"public__vs_welfare__upward1",-62.5,-64.602550229801,-2.10255022980103,16.5058059255556,1,0.975,0.95,200,0
"club__vs_welfare__upward1",-200,-201.726329439446,-1.72632943944586,22.3644737636141,1,1,0.94,200,0
"private__vs_welfare__upward1",-412.5,-415.089703750303,-2.58970375030299,27.9549250867119,1,1,0.97,200,0
"public__vs_welfare__upward2",-62.5,-65.7362719715062,-3.23627197150616,33.3036585718882,0.98,0.48,0.94,200,0
"club__vs_welfare__upward2",-200,-203.469685781391,-3.46968578139138,42.8050107273551,1,1,0.95,200,0
"private__vs_welfare__upward2",-512.5,-518.421700463602,-5.92170046360195,48.6211262844864,1,1,0.96,200,0
"public__vs_welfare__downward1",-93.75,-95.2967945993545,-1.5467945993545,29.0600122950832,1,0.905,0.96,200,0
"club__vs_welfare__downward1",-175,-177.565714574007,-2.56571457400705,34.773078149839,1,1,0.985,200,0
"private__vs_welfare__downward1",-200,-206.47075385201,-6.47075385201003,38.8857045995691,1,1,0.94,200,0
"public__vs_welfare__upward1_np",-62.5,-64.602550229801,-2.10255022980103,16.5058059255556,1,0.975,0.95,200,0
"club__vs_welfare__upward1_np",-200,-201.726329439446,-1.72632943944586,22.3644737636141,1,1,0.94,200,0
"private__vs_welfare__upward1_np",-412.5,-415.089703750303,-2.58970375030299,27.9549250867119,1,1,0.97,200,0
"public__vs_welfare__downward1_np",-93.75,-95.2967945993545,-1.5467945993545,29.0600122950832,1,0.905,0.96,200,0
