"quantity","truth","mc_mean","mc_bias","mc_sd","sign_correct","power_alpha05","coverage_95","n_reps","n_failed"
"public__vs_welfare__control",-62.5,-62.60364816382,-0.103648163819969,12.1168048557627,1,1,0.975,200,0
"club__vs_welfare__control",-200,-201.295921819804,-1.29592181980385,16.4682661348299,1,1,0.965,200,0
"private__vs_welfare__control",-312.5,-314.678205424487,-2.17820542448749,19.2958301147881,1,1,0.955,200,0
"public__vs_welfare__treated",-64.129130257505,-66.8236964570273,-2.69456619952224,12.7195544758523,1,1,0.97,200,0
"club__vs_welfare__treated",-198.696695793996,-201.200794693152,-2.50409889915579,17.2858165883714,1,1,0.96,200,0
"private__vs_welfare__treated",-370.849693287897,-376.300687813568,-5.45099452567115,22.5418368225863,1,1,0.96,200,0
"public_vs_club__control",137.5,138.692273655984,1.19227365598391,13.0988435040696,1,1,0.935,200,0
"public_vs_private__control",250,252.074557260668,2.0745572606678,17.7960514454067,1,1,0.96,200,0
"club_vs_private__control",112.5,113.382283604684,0.882283604683849,15.4335033875319,1,1,0.96,200,0
"public_vs_club__treated",134.567565536491,134.377098236124,-0.190467300366521,11.9458955334566,1,1,0.985,200,0
"public_vs_private__treated",306.720563030391,309.47699135654,2.75642832614881,19.0243139115847,1,1,0.965,200,0
"club_vs_private__treated",172.152997493901,175.099893120416,2.94689562651513,17.419396154186,1,1,0.935,200,0
"ITT_public_vs_club",-2.93243446350908,-4.31517541985953,-1.38274095635045,17.5435721247499,0.605,0.035,0.97,200,0
"ITT_public_vs_private",56.7205630303914,57.4024340958723,0.681871065480884,25.6598264187804,0.98,0.575,0.97,200,0
