"quantity","truth","mc_mean","mc_bias","mc_sd","sign_correct","power_alpha05","coverage_95","n_reps","n_failed"
"public__vs_welfare__control",-62.5,-64.3541797252579,-1.85417972525788,13.8514463830909,1,1,0.95,20,0
"club__vs_welfare__control",-125,-124.078077109464,0.921922890535555,12.996269683437,1,1,1,20,0
"private__vs_welfare__control",-237.5,-243.502216531351,-6.00221653135128,17.9046742445354,1,1,1,20,0
"public__vs_welfare__treated",-64.129130257505,-65.2543429713556,-1.12521271385054,12.3037089444862,1,1,1,20,0
"club__vs_welfare__treated",-101.571191272409,-99.6730878626509,1.89810340975812,20.6387417593714,1,1,0.85,20,0
"private__vs_welfare__treated",-273.72418876631,-270.226273254103,3.49791551220693,21.5387333357027,1,1,0.85,20,0
"public_vs_club__control",62.5,59.7238973842066,-2.77610261579343,10.246360086169,1,1,0.95,20,0
"public_vs_private__control",175,179.148036806093,4.14803680609342,19.7713597392017,1,1,0.85,20,0
"club_vs_private__control",112.5,119.424139421887,6.92413942188684,17.762911175316,1,1,1,20,0
"public_vs_club__treated",37.442061014904,34.4187448912953,-3.02331612360865,14.1059405762247,1,0.8,0.9,20,0
"public_vs_private__treated",209.595058508805,204.971930282747,-4.62312822605753,21.6019543060499,1,1,0.9,20,0
"club_vs_private__treated",172.152997493901,170.553185391452,-1.59981210244888,23.403577953889,1,1,0.85,20,0
"ITT_public_vs_club",-25.057938985096,-25.3051524929112,-0.247213507815232,17.7085401873101,0.95,0.4,0.95,20,0
"ITT_public_vs_private",34.5950585088045,25.8238934766536,-8.77116503215092,25.2560731190545,0.85,0.15,0.95,20,0
