"quantity","truth","mc_mean","mc_bias","mc_sd","sign_correct","power_alpha05","coverage_95","n_reps","n_failed"
"public__vs_welfare__ctl_prior",-62.5,-63.0076421924589,-0.507642192458881,14.7136391680479,1,0.995,0.97,200,0
"club__vs_welfare__ctl_prior",-200,-201.724462085477,-1.72446208547677,18.937149664165,1,1,0.97,200,0
"private__vs_welfare__ctl_prior",-312.5,-314.320101655465,-1.82010165546473,22.2185115898248,1,1,0.965,200,0
"public__vs_welfare__ctl_noprior",-62.5,-62.0404094779933,0.459590522006671,27.6247304978007,1,0.64,0.93,200,0
"club__vs_welfare__ctl_noprior",-200,-201.714841360108,-1.71484136010838,38.5193344570293,1,1,0.945,200,0
"private__vs_welfare__ctl_noprior",-312.5,-318.016253477876,-5.51625347787603,41.4463631434508,1,1,0.98,200,0
"public__vs_welfare__treat_prior",-64.6630025458789,-67.9943956941501,-3.33139314827125,16.1649898934123,1,1,0.945,200,0
"club__vs_welfare__treat_prior",-198.269597963297,-201.878701139856,-3.60910317655936,21.4998752897688,1,1,0.96,200,0
"private__vs_welfare__treat_prior",-357.200726636258,-363.551481898765,-6.35075526250705,27.1193949808319,1,1,0.93,200,0
"public__vs_welfare__treat_noprior",-77.2482051493646,-81.361454024095,-4.11324887473044,27.9042760146979,1,0.835,0.97,200,0
"club__vs_welfare__treat_noprior",-188.201435880508,-194.07323173477,-5.87179585426205,34.9244537084765,1,1,0.985,200,0
"private__vs_welfare__treat_noprior",-315.405801287341,-329.123344584836,-13.7175432974945,48.9913285220594,1,1,0.935,200,0
"public_vs_club__ctl_prior",137.5,138.716819893018,1.21681989301786,14.8994009371265,1,1,0.945,200,0
"public_vs_private__ctl_prior",250,251.312459463006,1.31245946300587,20.6825505789197,1,1,0.965,200,0
"club_vs_private__ctl_prior",112.5,112.595639569988,0.0956395699880375,18.4554643348102,1,1,0.96,200,0
"public_vs_club__ctl_noprior",137.5,139.674431882115,2.1744318821151,27.0024807282003,1,1,0.955,200,0
"public_vs_private__ctl_noprior",250,255.975843999883,5.97584399988261,35.9878176625658,1,1,0.975,200,0
"club_vs_private__ctl_noprior",112.5,116.301412117767,3.80141211776753,34.8107429659252,1,0.93,0.945,200,0
"public_vs_club__treat_prior",133.606595417418,133.884305445706,0.277710028288197,13.6310943311744,1,1,0.98,200,0
"public_vs_private__treat_prior",292.537724090379,295.557086204615,3.01936211423606,21.7799057280955,1,1,0.935,200,0
"club_vs_private__treat_prior",158.931128672961,161.672780758909,2.74165208594792,20.3390780868915,1,1,0.94,200,0
"public_vs_club__treat_noprior",110.953230731144,112.711777710676,1.75854697953179,26.8156253011076,1,0.995,0.965,200,0
"public_vs_private__treat_noprior",238.157596137977,247.761890560741,9.60429442276447,43.9763928065905,1,1,0.925,200,0
"club_vs_private__treat_noprior",127.204365406833,135.050112850065,7.84574744323255,35.3831031511786,1,0.97,0.955,200,0
"UPDATER_public_vs_club",-26.5467692688562,-26.9626541714396,-0.415884902583382,37.7151260637007,0.75,0.11,0.965,200,0
"NONUPDATER_public_vs_club",-3.89340458258195,-4.83251444731168,-0.93910986472973,20.8732313126218,0.61,0.045,0.95,200,0
"ITT_public_vs_club",-9.55674575415052,-10.3650493783437,-0.808303624193142,17.7877095544748,0.735,0.055,0.965,200,0
"UPDATER_public_vs_private",-11.8424038620234,-8.21395343914177,3.62845042288165,55.2864134791973,0.59,0.045,0.965,200,0
"NONUPDATER_public_vs_private",42.5377240903787,44.244626741609,1.70690265123022,30.8400335144762,0.925,0.3,0.96,200,0
"ITT_public_vs_private",28.9426921022782,31.1299816964213,2.18728959414307,26.3229179428343,0.88,0.19,0.96,200,0
