"parameter","true","estimate","se","z_vs_true","covered95"
"mu_asc",-0.4,-0.502301904571009,0.0736145631600593,-1.3896965515991,TRUE
"mu_a1e1",0.5,0.554565760814553,0.0577100055644149,0.945516471206155,TRUE
"mu_a1e2",0,-0.00646441993855455,0.0604914789258216,-0.10686496765076,TRUE
"mu_a1e3",0.4,0.420444111056251,0.0595385827697669,0.343375843111816,TRUE
"mu_a2e1",0.3,0.364740495197413,0.0412836106850733,1.56818878298407,TRUE
"mu_a3e1",-0.2,-0.168570397982997,0.0499413293683194,0.629330504705003,TRUE
"mu_a3e2",0.4,0.363438427627147,0.0515382974147715,-0.709405902151006,TRUE
"mu_a4e1",0.5,0.43473937392899,0.0402553370133616,-1.62116705293881,TRUE
"mu_cost",-0.8,-0.852457726928871,0.0440140255277691,-1.19184115290192,TRUE
"alpha_asc",-0.114888087408508,-0.104045432012176,0.102322936156993,0.105965053423567,TRUE
"alpha_a1e1",-0.0663307520950462,-0.0586643198018266,0.0840177661240591,0.091247752075429,TRUE
"alpha_a1e2",0.101514267529437,0.122063416831887,0.0854285078271257,0.240542060550023,TRUE
"alpha_a1e3",0,-0.0612357145961975,0.0857105592705028,-0.714447731030869,TRUE
"alpha_a2e1",0.0683488914819138,-0.00586298780280601,0.0580939839109444,-1.27744517226575,TRUE
"alpha_a3e1",0.0945926593826245,0.117285256606827,0.0714075354827206,0.317789951309739,TRUE
"alpha_a3e2",0.0455659276546092,-0.0175431560465692,0.071463600879445,-0.883094091601119,TRUE
"alpha_a4e1",0.0787313037021323,0.137515995160853,0.0578290579359726,1.01652514422432,TRUE
"alpha_cost",NA,-0.0115378678099463,0.0599748081032032,NA,NA
"beta_asc",0,0.0785947187422013,0.139497548226323,0.56341290396508,TRUE
"beta_a1e1",0,-0.120829723248851,0.12398098320079,-0.974582715263393,TRUE
"beta_a1e2",0,0.113811050281388,0.126557135272583,0.899285923596947,TRUE
"beta_a1e3",0,0.005890712554921,0.124338162000865,0.047376545222536,TRUE
"beta_a2e1",0,-0.0179659406764704,0.082524947536882,-0.217703145687443,TRUE
"beta_a3e1",0,-0.106381933922702,0.099845852944656,-1.06546171708973,TRUE
"beta_a3e2",0,0.0447110198492858,0.0976277970133437,0.457974277993538,TRUE
"beta_a4e1",0,0.0656606549925489,0.079274111363837,0.828273617488972,TRUE
"beta_cost",0,0.0444873459669202,0.0776162299411148,0.57317066289707,TRUE
"gamma_asc",-0.0247224093731396,0.206498676660733,0.213113313750435,1.08496781343583,TRUE
"gamma_a1e1",-0.0840571006859407,0.0130417057016554,0.173100182363198,0.560939942765999,TRUE
"gamma_a1e2",-0.0131127161183129,-0.00889414645950281,0.175787285905936,0.0239981500201754,TRUE
"gamma_a1e3",0,0.0775430906931636,0.182928159721337,0.42389914604339,TRUE
"gamma_a2e1",-0.0551412664612833,0.135800364826377,0.122474411219319,1.55903285744917,TRUE
"gamma_a3e1",-0.0533853644494672,0.0832693543319594,0.144632978277402,0.94483789526429,TRUE
"gamma_a3e2",-0.0367608443075222,0.168419341499248,0.141628743076493,1.44871853939955,TRUE
"gamma_a4e1",0.00526770603544817,0.119398279400315,0.118221118367796,0.965399202279556,TRUE
"gamma_cost",NA,0.109941699880206,0.118072156619257,NA,NA
"sd_a1e1",0.5,0.41236022753992,0.0776469192411515,-1.12869606826117,TRUE
"sd_a1e2",0.5,0.445794729238887,0.077187992845274,-0.702250036087466,TRUE
"sd_a1e3",0.4,0.299558764833812,0.112651646803328,-0.891609115502263,TRUE
"sd_a2e1",0.4,0.452456499810887,0.0400996439542335,1.30815375494997,TRUE
"sd_a3e1",0.4,0.303959907595677,0.0742679575479695,-1.2931565048398,TRUE
"sd_a3e2",0.4,0.432744579520139,0.0526925972825247,0.62142656101332,TRUE
"sd_a4e1",0.4,0.442634526020734,0.0416100491445661,1.02462090041298,TRUE
