"quantity","true","estimate","se","lo","hi","covered95"
"public__vs_welfare__control",-62.5,-62.6456198092172,14.7075766244316,-91.4724699931031,-33.8187696253313,TRUE
"club__vs_welfare__control",-125,-119.849296207823,15.1899773679556,-149.621651849016,-90.0769405666296,TRUE
"private__vs_welfare__control",-237.5,-230.087712030346,18.4214288580475,-266.19371259212,-193.981711468573,TRUE
"public__vs_welfare__treated",-64.129130257505,-82.3692502263821,15.1588141817446,-112.080526022601,-52.6579744301627,TRUE
"club__vs_welfare__treated",-101.571191272409,-119.032364874575,15.3705670893781,-149.158676369756,-88.9060533793939,TRUE
"private__vs_welfare__treated",-273.72418876631,-294.223909537034,19.7332574504144,-332.901094139846,-255.546724934221,TRUE
"public_vs_club__control",62.5,57.2036763986054,11.5662954485727,34.5337373194028,79.8736154778079,TRUE
"public_vs_private__control",175,167.442092221129,18.4478575086474,131.28429150418,203.599892938078,TRUE
"club_vs_private__control",112.5,110.238415822524,17.682149609285,75.5814025883253,144.895429056722,TRUE
"public_vs_club__treated",37.442061014904,36.663114648193,11.3315530159639,14.4532707369038,58.8729585594821,TRUE
"public_vs_private__treated",209.595058508805,211.854659310652,18.8473038393775,174.913943785472,248.795374835831,TRUE
"club_vs_private__treated",172.152997493901,175.191544662459,19.1139282529141,137.728245286747,212.65484403817,TRUE
"ITT_public_vs_club",-25.057938985096,-20.5405617504124,15.9983021523939,-51.8972339691044,10.8161104682797,TRUE
"ITT_public_vs_private",34.5950585088045,44.4125670895223,25.9218743332925,-6.39430660373107,95.2194407827756,TRUE
