"quantity","estimate","lo","hi","n_reps","n_failed"
"public__vs_welfare__control",-55.5934198786556,-81.7890716119412,-29.2769480791035,200,0
"club__vs_welfare__control",-198.232049176388,-229.067389359742,-161.259789227311,200,0
"private__vs_welfare__control",-313.736508696867,-356.044024453619,-276.181680776659,200,0
"public__vs_welfare__treated_none",-33.4642457990196,-72.0958876515709,-5.07506667424664,200,0
"club__vs_welfare__treated_none",-179.407199125599,-224.324759967577,-125.467544831867,200,0
"private__vs_welfare__treated_none",-301.56314865113,-359.334150717302,-252.647237923506,200,0
"public__vs_welfare__upward1",-47.5022480129452,-79.1182034195659,-17.7315499598194,200,0
"club__vs_welfare__upward1",-181.158671937802,-215.89065725647,-136.506876836924,200,0
"private__vs_welfare__upward1",-369.885418327707,-420.148037038526,-320.055572030453,200,0
"public__vs_welfare__upward2",-61.5402502268708,-137.092204307838,8.2224258378352,200,0
"club__vs_welfare__upward2",-182.910144750006,-268.672418291923,-111.311416659451,200,0
"private__vs_welfare__upward2",-438.207688004283,-527.222869911772,-358.160909739489,200,0
"public__vs_welfare__downward1",-46.6757380464787,-96.9460882107361,12.0455715275477,200,0
"club__vs_welfare__downward1",-150.612436296746,-218.560922262789,-78.2796935333708,200,0
"private__vs_welfare__downward1",-253.066683205198,-331.959371886413,-179.849743798085,200,0
"public__vs_welfare__upward1_np",-47.5022480129452,-79.1182034195659,-17.7315499598194,200,0
"club__vs_welfare__upward1_np",-181.158671937802,-215.89065725647,-136.506876836924,200,0
"private__vs_welfare__upward1_np",-369.885418327707,-420.148037038526,-320.055572030453,200,0
"public__vs_welfare__downward1_np",-46.6757380464787,-96.9460882107361,12.0455715275477,200,0
"club__vs_welfare__downward1_np",-150.612436296746,-218.560922262789,-78.2796935333708,200,0
"private__vs_welfare__downward1_np",-253.066683205198,-331.959371886413,-179.849743798085,200,0
"public_vs_club__control",142.638629297732,120.112147593467,164.337796859679,200,0
"public_vs_private__control",258.143088818211,230.244153745675,292.220296945882,200,0
"club_vs_private__control",115.504459520479,89.0185830992656,143.588806704593,200,0
"public_vs_club__treated_none",145.942953326579,104.133203926092,181.796096162868,200,0
"public_vs_private__treated_none",268.098902852111,214.81796527901,317.250866299501,200,0
"club_vs_private__treated_none",122.155949525531,79.4983926037217,174.816512678992,200,0
"public_vs_club__upward1",133.656423924857,102.618955206947,159.02383164219,200,0
"public_vs_private__upward1",322.383170314761,282.643264463715,364.809815756376,200,0
"club_vs_private__upward1",188.726746389904,153.7928146907,231.351036086288,200,0
"public_vs_club__upward2",121.369894523135,65.279093295865,178.796232300677,200,0
"public_vs_private__upward2",376.667437777412,305.365214276808,459.392694657812,200,0
"club_vs_private__upward2",255.297543254277,185.486490890685,336.854330993952,200,0
"public_vs_club__downward1",103.936698250267,58.7758017705175,141.520581938413,200,0
"public_vs_private__downward1",206.390945158719,146.096799492601,271.416701434582,200,0
"club_vs_private__downward1",102.454246908452,56.1500737683606,161.019091709626,200,0
"public_vs_club__upward1_np",133.656423924857,102.618955206947,159.02383164219,200,0
"public_vs_private__upward1_np",322.383170314761,282.643264463715,364.809815756376,200,0
"club_vs_private__upward1_np",188.726746389904,153.7928146907,231.351036086288,200,0
"public_vs_club__downward1_np",103.936698250267,58.7758017705175,141.520581938413,200,0
"public_vs_private__downward1_np",206.390945158719,146.096799492601,271.416701434582,200,0
"club_vs_private__downward1_np",102.454246908452,56.1500737683606,161.019091709626,200,0
"DELTA_public_vs_club__upward1_minus_control",-8.98220537287528,-45.7029803763964,24.7846127842046,200,0
"DELTA_public_vs_private__upward1_minus_control",64.2400814965503,15.4488287997553,116.407660930006,200,0
"DELTA_public_vs_club__downward1_minus_control",-38.7019310474654,-87.1687134305809,8.6404447594753,200,0
"DELTA_public_vs_private__downward1_minus_control",-51.7521436594918,-122.962915485806,23.4677836276763,200,0
"DELTA_public_vs_club__treated_none_minus_control",3.30432402884696,-40.4017424396173,49.1322307294112,200,0
"DELTA_public_vs_private__treated_none_minus_control",9.95581403389946,-46.8303799147934,59.626609421099,200,0
"DELTA_NP_public_vs_club__upward1_np_minus_stated",0,0,0,200,0
"DELTA_NP_public_vs_private__upward1_np_minus_stated",0,0,0,200,0
"DELTA_NP_public_vs_club__downward1_np_minus_stated",0,0,0,200,0
"DELTA_NP_public_vs_private__downward1_np_minus_stated",0,0,0,200,0
