"choice_set","block","alternative","A1_level","A2_level","A3_level","A4_level","A5_level","A5_value"
1,2,"Program_A",4,1,1,1,2,75
1,2,"Program_B",2,2,3,1,4,300
1,2,"Status_Quo",3,1,2,2,1,0
2,1,"Program_A",4,1,1,3,4,300
2,1,"Program_B",2,2,1,1,3,150
2,1,"Status_Quo",3,1,2,2,1,0
3,2,"Program_A",3,1,1,3,2,75
3,2,"Program_B",4,2,3,3,4,300
3,2,"Status_Quo",3,1,2,2,1,0
4,4,"Program_A",4,2,2,3,2,75
4,4,"Program_B",3,2,1,3,4,300
4,4,"Status_Quo",3,1,2,2,1,0
5,2,"Program_A",4,1,3,1,2,75
5,2,"Program_B",4,2,1,1,3,150
5,2,"Status_Quo",3,1,2,2,1,0
6,3,"Program_A",4,2,2,1,3,150
6,3,"Program_B",2,1,1,3,3,150
6,3,"Status_Quo",3,1,2,2,1,0
7,4,"Program_A",3,1,2,1,2,75
7,4,"Program_B",1,2,2,1,4,300
7,4,"Status_Quo",3,1,2,2,1,0
8,3,"Program_A",1,1,3,1,3,150
8,3,"Program_B",1,2,2,1,4,300
8,3,"Status_Quo",3,1,2,2,1,0
9,1,"Program_A",2,1,3,3,3,150
9,1,"Program_B",3,2,2,1,3,150
9,1,"Status_Quo",3,1,2,2,1,0
10,4,"Program_A",2,1,1,3,3,150
10,4,"Program_B",4,1,1,1,3,150
10,4,"Status_Quo",3,1,2,2,1,0
11,1,"Program_A",1,1,2,3,2,75
11,1,"Program_B",3,1,3,1,4,300
11,1,"Status_Quo",3,1,2,2,1,0
12,2,"Program_A",1,2,3,1,3,150
12,2,"Program_B",1,2,2,1,3,150
12,2,"Status_Quo",3,1,2,2,1,0
13,3,"Program_A",3,2,3,1,2,75
13,3,"Program_B",4,2,2,1,4,300
13,3,"Status_Quo",3,1,2,2,1,0
14,2,"Program_A",4,1,3,3,2,75
14,2,"Program_B",1,1,3,3,2,75
14,2,"Status_Quo",3,1,2,2,1,0
15,1,"Program_A",1,2,2,3,4,300
15,1,"Program_B",1,1,1,1,2,75
15,1,"Status_Quo",3,1,2,2,1,0
16,4,"Program_A",3,1,1,1,4,300
16,4,"Program_B",1,1,3,3,3,150
16,4,"Status_Quo",3,1,2,2,1,0
17,2,"Program_A",3,1,2,3,4,300
17,2,"Program_B",2,2,2,3,4,300
17,2,"Status_Quo",3,1,2,2,1,0
18,4,"Program_A",4,2,3,3,3,150
18,4,"Program_B",2,1,2,1,2,75
18,4,"Status_Quo",3,1,2,2,1,0
19,1,"Program_A",2,2,1,3,3,150
19,1,"Program_B",2,2,3,3,4,300
19,1,"Status_Quo",3,1,2,2,1,0
20,3,"Program_A",3,1,2,3,3,150
20,3,"Program_B",2,2,1,1,2,75
20,3,"Status_Quo",3,1,2,2,1,0
21,1,"Program_A",1,2,3,1,3,150
21,1,"Program_B",3,2,3,1,2,75
21,1,"Status_Quo",3,1,2,2,1,0
22,3,"Program_A",3,1,1,1,4,300
22,3,"Program_B",1,2,1,3,2,75
22,3,"Status_Quo",3,1,2,2,1,0
23,3,"Program_A",2,1,2,3,2,75
23,3,"Program_B",3,1,2,3,4,300
23,3,"Status_Quo",3,1,2,2,1,0
24,4,"Program_A",2,2,3,3,2,75
24,4,"Program_B",4,1,1,3,4,300
24,4,"Status_Quo",3,1,2,2,1,0
